,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Date,Visitor,Visitor_score,Home,Home_score,OTFlag,Box Score,total_actual,spread_actual,Home_win,Visitor_win,Total_win,Spread_win
38,3,LAC,DEN,45.8,-2.3,2.3,o45.8,u45.8,401772735,,3.0,o45.5,,,-3.0,u45.5,,Mininmal Edge,Mininmal Edge,0.7000000000000002,0.2999999999999971,,,09/21/2025,DEN,20,LAC,23,,Box Score,43,3,True,False,0,0
39,3,TB,NYJ,48.0,-11.1,11.1,o48.0,u48.0,401772840,,6.5,o43.0,,,-6.5,u43.0,,Over,Mininmal Edge,4.6,5.0,,,09/21/2025,NYJ,27,TB,29,,Box Score,56,2,True,False,1,0
40,3,CAR,ATL,43.5,4.2,-4.2,o43.5,u43.5,401772838,,-4.5,o44.0,,,4.5,u44.0,,Mininmal Edge,Mininmal Edge,0.2999999999999998,0.5,,,09/21/2025,ATL,0,CAR,30,,Box Score,30,30,True,False,0,0
41,3,WAS,LV,45.5,-4.3,4.3,o45.5,u45.5,401772841,,3.0,o43.5,,,-3.0,u43.5,,Mininmal Edge,Mininmal Edge,1.2999999999999998,2.0,,,09/21/2025,LV,24,WAS,41,,Box Score,65,17,True,False,0,0
42,3,PHI,LA,45.6,-7.4,7.4,o45.6,u45.6,401772839,,3.0,o44.5,,,-3.0,u44.5,,Mininmal Edge,Mininmal Edge,4.4,1.1000000000000014,,,09/21/2025,LA,26,PHI,33,,Box Score,59,7,True,False,0,0
43,3,NE,PIT,47.3,6.0,-6.0,o47.3,u47.3,401772732,,-1.5,o44.5,,,1.5,u44.5,,Mininmal Edge,Mininmal Edge,4.5,2.799999999999997,,,09/21/2025,PIT,21,NE,14,,Box Score,35,7,False,True,0,0
44,3,MIN,CIN,46.2,-4.3,4.3,o46.2,u46.2,401772731,,3.0,o41.5,,,-3.0,u41.5,,Mininmal Edge,Mininmal Edge,1.2999999999999998,4.700000000000003,,,09/21/2025,CIN,10,MIN,48,,Box Score,58,38,True,False,0,0
45,3,CLE,GB,40.6,6.1,-6.1,o40.6,u40.6,401772842,,-7.5,o41.0,,,7.5,u41.0,,Mininmal Edge,Mininmal Edge,1.4000000000000004,0.3999999999999986,,,09/21/2025,GB,10,CLE,13,,Box Score,23,3,True,False,0,0
46,3,JAX,HOU,45.2,0.8,-0.8,o45.2,u45.2,401772734,,1.0,o43.5,,,-1.0,u43.5,,Mininmal Edge,Mininmal Edge,0.1999999999999999,1.7000000000000028,,,09/21/2025,HOU,10,JAX,17,,Box Score,27,7,True,False,0,0
47,3,BUF,MIA,43.8,-9.0,9.0,o43.8,u43.8,401772937,,12.0,o50.0,,,-12.0,u50.0,,Under,Mininmal Edge,3.0,6.200000000000003,,,09/18/2025,MIA,21,BUF,31,,Box Score,52,10,True,False,0,0
48,4,PIT,MIN,41.4,-1.2,1.2,o41.4,u41.4,401772632,-1.5,-2.5,o41.5,-140.0,u41.5,2.5,u41.5,120.0,Mininmal Edge,Mininmal Edge,1.3,0.1000000000000014,0.0,0.0,09/28/2025,MIN,21,PIT,24,,Box Score,45,3,True,False,0,0
49,4,KC,BAL,43.6,2.4,-2.4,o43.6,u43.6,401772741,-2.5,-2.5,o48.5,-150.0,u48.5,2.5,u48.5,130.0,Mininmal Edge,Mininmal Edge,0.1,4.899999999999999,0.0,0.0,09/28/2025,BAL,20,KC,37,,Box Score,57,17,True,False,0,0
50,4,SF,JAX,46.9,-8.7,8.7,o46.9,u46.9,401772848,o45.5,3.5,o46.5,150.0,-4.5,-3.5,u46.5,-175.0,Mininmal Edge,Home,5.199999999999999,0.3999999999999986,3.0,0.0,09/28/2025,JAX,26,SF,21,,Box Score,47,5,False,True,0,0
51,4,LA,IND,45.2,-4.7,4.7,o45.2,u45.2,401772849,o48.5,3.5,o49.5,155.0,-3.5,-3.5,u49.5,-185.0,Mininmal Edge,Mininmal Edge,1.2000000000000002,4.299999999999997,0.0,0.0,09/28/2025,IND,20,LA,27,,Box Score,47,7,True,False,0,0
52,4,HOU,TEN,47.3,-9.8,9.8,o47.3,u47.3,401772738,o39.5,7.5,o39.5,300.0,-6.5,-7.5,u39.5,-400.0,Over,Mininmal Edge,2.3000000000000007,7.799999999999997,0.0,2.0,09/28/2025,TEN,0,HOU,26,,Box Score,26,26,True,False,0,0
53,4,TB,PHI,44.6,0.5,-0.5,o44.6,u44.6,401772845,-2.5,-3.5,o43.5,-200.0,u45.5,3.5,u43.5,170.0,Mininmal Edge,Mininmal Edge,3.0,1.1000000000000014,0.0,0.0,09/28/2025,PHI,31,TB,25,,Box Score,56,6,False,True,0,0
